epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,201.513,0.60797,0.87145,0.32379,0.90905,0,0.99086,1,0.995,0.88413,0.99086,1,0.995,0.86346,0.53534,1.16777,0.22026,0.8427,0,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,207.141,0.63528,1.00834,0.3488,0.92699,0,0.99087,1,0.995,0.8945,0.99087,1,0.995,0.89275,0.54278,1.08676,0.22765,0.84419,0,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,213.154,0.56633,0.90622,0.30593,0.92151,0,0.99101,1,0.995,0.86853,0.99101,1,0.995,0.8708,0.43494,0.91432,0.24162,0.81246,0,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,218.842,0.59694,0.83627,0.32423,0.89165,0,0.99045,1,0.995,0.91548,0.99045,1,0.995,0.88484,0.47602,0.96207,0.25171,0.8289,0,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,224.848,0.59309,0.82758,0.31999,0.9291,0,0.99061,1,0.995,0.90708,0.99061,1,0.995,0.88538,0.61295,0.8683,0.25532,0.86796,0,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,230.564,0.55072,0.82284,0.30739,0.87279,0,0.99077,1,0.995,0.90187,0.99077,1,0.995,0.879,0.57591,0.87392,0.24395,0.83536,0,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,236.559,0.55034,0.77112,0.28536,0.90542,0,0.99077,1,0.995,0.912,0.99077,1,0.995,0.912,0.4478,0.8588,0.22687,0.81106,0,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,242.404,0.55601,0.87405,0.31025,0.88059,0,0.99104,1,0.995,0.90875,0.99104,1,0.995,0.90875,0.54451,0.98119,0.24254,0.83527,0,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,248.455,0.581,0.82741,0.30199,0.90218,0,0.99073,1,0.995,0.92196,0.99073,1,0.995,0.91104,0.46142,0.85823,0.21664,0.81241,0,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,254.13,0.50403,0.77259,0.2893,0.85933,0,0.99083,1,0.995,0.94517,0.99083,1,0.995,0.912,0.47932,0.9595,0.20693,0.82695,0,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,260.25,0.55494,0.84989,0.29672,0.89179,0,1,1,0.995,0.8799,1,1,0.995,0.9075,0.58388,1.19142,0.23866,0.85726,0,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,265.96,0.48878,0.79324,0.28289,0.86528,0,0.99078,1,0.995,0.92417,0.99078,1,0.995,0.90075,0.53719,1.08291,0.24391,0.84302,0,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,271.962,0.51422,0.73232,0.26562,0.86044,0,0.99079,1,0.995,0.93925,0.99079,1,0.995,0.90075,0.4905,1.08484,0.21765,0.83018,0,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,277.569,0.56372,0.80548,0.30389,0.88588,0,1,1,0.995,0.87765,1,1,0.995,0.8753,0.56551,1.26551,0.23633,0.85993,0,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,283.679,0.51033,0.7624,0.28088,0.87133,0,1,1,0.995,0.9372,1,1,0.995,0.8995,0.48282,1.11256,0.20833,0.83662,0,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,289.367,0.52108,0.77789,0.28743,0.89569,0,1,1,0.995,0.89775,1,1,0.995,0.87765,0.53459,1.1753,0.22423,0.85542,0,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,295.342,0.52368,0.77715,0.27696,0.88481,0,1,1,0.995,0.89775,1,1,0.995,0.8438,0.50806,1.08459,0.1966,0.84588,0,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,301.002,0.47838,0.71811,0.26956,0.86071,0,1,1,0.995,0.9039,1,1,0.995,0.83698,0.50227,1.07792,0.20458,0.84335,0,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
